Type,School Year,County,District,School,Agency Name,Attendance Rate,DataAsOf
ST,20012002,00,0000,000,STATE OF NEBRASKA,0.9504,11/09/2012
ST,20022003,00,0000,000,STATE OF NEBRASKA,0.9465,11/09/2012
ST,20032004,00,0000,000,STATE OF NEBRASKA,0.9467,11/09/2012
ST,20042005,00,0000,000,STATE OF NEBRASKA,0.9460,11/09/2012
ST,20052006,00,0000,000,STATE OF NEBRASKA,0.9493,11/09/2012
ST,20062007,00,0000,000,STATE OF NEBRASKA,0.9477,11/09/2012
ST,20072008,00,0000,000,STATE OF NEBRASKA,0.9472,11/09/2012
ST,20082009,00,0000,000,STATE OF NEBRASKA,0.9486,11/09/2012
ST,20092010,00,0000,000,STATE OF NEBRASKA,0.9477,11/09/2012
ST,20102011,00,0000,000,STATE OF NEBRASKA,0.9518,11/09/2012
ST,20112012,00,0000,000,STATE OF NEBRASKA,0.9555,11/09/2012
ST,20122013,00,0000,000,STATE OF NEBRASKA,0.9530,07/03/2013
ST,20132014,00,0000,000,STATE OF NEBRASKA,0.9518,07/07/2014
ST,20142015,00,0000,000,STATE OF NEBRASKA,0.9517,08/18/2015
ST,20152016,00,0000,000,STATE OF NEBRASKA,0.9489,12/12/2016
LC,20082009,00,9000,000,LEARNING COMMUNITY,0.9450,11/09/2012
LC,20092010,00,9000,000,LEARNING COMMUNITY,0.9453,11/09/2012
LC,20102011,00,9000,000,LEARNING COMMUNITY,0.9500,11/09/2012
LC,20112012,00,9000,000,LEARNING COMMUNITY,0.9531,11/09/2012
LC,20132014,00,9000,000,LEARNING COMMUNITY,0.9491,07/07/2014
LC,20142015,00,9000,000,LEARNING COMMUNITY,0.9472,08/18/2015
LC,20152016,00,9000,000,LEARNING COMMUNITY,0.9441,12/12/2016
NT,20032004,00,9099,000,NORTHERN TIER,0.9628,11/09/2012
NT,20042005,00,9099,000,NORTHERN TIER,0.9603,11/09/2012
NT,20052006,00,9099,000,NORTHERN TIER,0.9613,11/09/2012
NT,20062007,00,9099,000,NORTHERN TIER,0.9568,11/09/2012
NT,20072008,00,9099,000,NORTHERN TIER,0.9627,11/09/2012
NT,20082009,00,9099,000,NORTHERN TIER,0.9622,11/09/2012
NT,20092010,00,9099,000,NORTHERN TIER,0.9632,11/09/2012
NT,20102011,00,9099,000,NORTHERN TIER,0.9655,11/09/2012
NT,20112012,00,9099,000,NORTHERN TIER,0.9675,11/09/2012
NT,20132014,00,9099,000,NORTHERN TIER,0.9626,07/07/2014
NT,20142015,00,9099,000,NORTHERN TIER,0.9608,08/18/2015
NT,20152016,00,9099,000,NORTHERN TIER,0.9617,12/12/2016
DI,20012002,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9737,11/09/2012
DI,20022003,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9722,11/09/2012
DI,20032004,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9693,11/09/2012
DI,20042005,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9696,11/09/2012
DI,20052006,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9635,11/09/2012
DI,20062007,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9612,11/09/2012
DI,20072008,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9668,11/09/2012
DI,20082009,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9668,11/09/2012
DI,20092010,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9646,11/09/2012
DI,20102011,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9726,11/09/2012
DI,20112012,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9760,11/09/2012
DI,20122013,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9759,07/03/2013
DI,20132014,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9711,07/07/2014
DI,20142015,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9688,08/18/2015
DI,20152016,01,0003,000,KENESAW PUBLIC SCHOOLS,0.9695,12/12/2016
DI,20012002,01,0011,000,HOLSTEIN PUBLIC SCHOOL,0.9589,11/09/2012
DI,20022003,01,0011,000,HOLSTEIN PUBLIC SCHOOL,0.9675,11/09/2012
DI,20032004,01,0011,000,HOLSTEIN PUBLIC SCHOOL,0.9586,11/09/2012
DI,20042005,01,0011,000,HOLSTEIN PUBLIC SCHOOL,0.9656,11/09/2012
DI,20052006,01,0011,000,HOLSTEIN PUBLIC SCHOOL,0.9583,11/09/2012
DI,20012002,01,0015,000,DIST 015 - ADAMS COUNTY,0.9763,11/09/2012
DI,20022003,01,0015,000,DIST 015 - ADAMS COUNTY,0.9772,11/09/2012
DI,20032004,01,0015,000,DIST 015 - ADAMS COUNTY,0.9749,11/09/2012
DI,20042005,01,0015,000,DIST 015 - ADAMS COUNTY,0.9711,11/09/2012
DI,20052006,01,0015,000,DIST 015 - ADAMS COUNTY,0.9804,11/09/2012
DI,20012002,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9533,11/09/2012
DI,20022003,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9578,11/09/2012
DI,20032004,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9542,11/09/2012
DI,20042005,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9536,11/09/2012
DI,20052006,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9481,11/09/2012
DI,20062007,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9453,11/09/2012
DI,20072008,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9471,11/09/2012
DI,20082009,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9335,11/09/2012
DI,20092010,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9440,11/09/2012
DI,20102011,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9544,11/09/2012
DI,20112012,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9567,11/09/2012
DI,20122013,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9547,07/03/2013
DI,20132014,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9548,07/07/2014
DI,20142015,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9512,08/18/2015
DI,20152016,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.9488,12/12/2016
DI,20012002,01,0029,000,RISING STAR PUBLIC SCHOOL,0.9761,11/09/2012
DI,20022003,01,0029,000,RISING STAR PUBLIC SCHOOL,0.9827,11/09/2012
DI,20032004,01,0029,000,RISING STAR PUBLIC SCHOOL,0.9715,11/09/2012
DI,20042005,01,0029,000,RISING STAR PUBLIC SCHOOL,0.9633,11/09/2012
DI,20012002,01,0033,000,TRI-VIEW PUBLIC SCHOOL,0.9738,11/09/2012
DI,20022003,01,0033,000,TRI-VIEW PUBLIC SCHOOL,0.9739,11/09/2012
DI,20032004,01,0033,000,TRI-VIEW PUBLIC SCHOOL,0.9731,11/09/2012
DI,20042005,01,0033,000,TRI-VIEW PUBLIC SCHOOL,0.9881,11/09/2012
DI,20052006,01,0033,000,TRI-VIEW PUBLIC SCHOOL,0.9777,11/09/2012
DI,20012002,01,0053,000,AYR PUBLIC SCHOOL,0.9722,11/09/2012
DI,20022003,01,0053,000,AYR PUBLIC SCHOOL,0.9715,11/09/2012
DI,20032004,01,0053,000,AYR PUBLIC SCHOOL,0.9727,11/09/2012
DI,20042005,01,0053,000,AYR PUBLIC SCHOOL,0.9752,11/09/2012
DI,20052006,01,0053,000,AYR PUBLIC SCHOOL,0.9713,11/09/2012
DI,20012002,01,0060,000,WALLACE PUBLIC SCHOOL,0.9745,11/09/2012
DI,20022003,01,0060,000,WALLACE PUBLIC SCHOOL,0.9710,11/09/2012
DI,20032004,01,0060,000,WALLACE PUBLIC SCHOOL,0.9729,11/09/2012
DI,20042005,01,0060,000,WALLACE PUBLIC SCHOOL,0.9757,11/09/2012
DI,20052006,01,0060,000,WALLACE PUBLIC SCHOOL,0.9759,11/09/2012
DI,20012002,01,0075,000,HANOVER PUBLIC SCHOOL,0.9725,11/09/2012
DI,20022003,01,0075,000,HANOVER PUBLIC SCHOOL,0.9638,11/09/2012
DI,20012002,01,0090,000,ADAMS CENTRAL JR-SR HIGH SCH,0.9649,11/09/2012
DI,20022003,01,0090,000,ADAMS CENTRAL JR-SR HIGH SCH,0.9676,11/09/2012
DI,20032004,01,0090,000,ADAMS CENTRAL JR-SR HIGH SCH,0.9676,11/09/2012
DI,20042005,01,0090,000,ADAMS CENTRAL JR-SR HIGH SCH,0.9711,11/09/2012
DI,20052006,01,0090,000,ADAMS CENTRAL JR-SR HIGH SCH,0.9606,11/09/2012
DI,20062007,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.9609,11/09/2012
DI,20072008,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.9556,11/09/2012
DI,20082009,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.9706,11/09/2012
DI,20092010,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.9700,11/09/2012
DI,20102011,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.9726,11/09/2012
DI,20112012,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.9720,11/09/2012
DI,20122013,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.9688,07/03/2013
DI,20132014,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.9672,07/07/2014
DI,20142015,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.9674,08/18/2015
DI,20152016,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.9654,12/12/2016
DI,20012002,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9602,11/09/2012
DI,20022003,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9672,11/09/2012
DI,20032004,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.9564,11/09/2012
