Type,School Year,County,District,School,Agency Name,Dropout Rate,DataAsOf
ST,20102011,00,0000,000,STATE OF NEBRASKA,0.0138,11/09/2012
ST,20112012,00,0000,000,STATE OF NEBRASKA,0.0146,11/09/2012
ST,20132014,00,0000,000,STATE OF NEBRASKA,0.0111,11/17/2014
ST,20142015,00,0000,000,STATE OF NEBRASKA,0.0109,11/13/2015
ST,20152016,00,0000,000,STATE OF NEBRASKA,0.0120,12/02/2016
DI,20102011,01,0003,000,KENESAW PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,01,0003,000,KENESAW PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,01,0003,000,KENESAW PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,01,0003,000,KENESAW PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,01,0003,000,KENESAW PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.0105,11/09/2012
DI,20112012,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.0142,11/09/2012
DI,20132014,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.0150,11/17/2014
DI,20142015,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.0076,11/13/2015
DI,20152016,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.0116,12/02/2016
DI,20102011,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,02,0009,000,NELIGH-OAKDALE SCHOOLS,-1.0000,11/09/2012
DI,20112012,02,0009,000,NELIGH-OAKDALE SCHOOLS,-1.0000,11/09/2012
DI,20132014,02,0009,000,NELIGH-OAKDALE SCHOOLS,-1.0000,11/17/2014
DI,20142015,02,0009,000,NELIGH-OAKDALE SCHOOLS,-1.0000,11/13/2015
DI,20152016,02,0009,000,NELIGH-OAKDALE SCHOOLS,-1.0000,12/02/2016
DI,20102011,02,0018,000,ELGIN PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,02,0018,000,ELGIN PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,02,0018,000,ELGIN PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,02,0018,000,ELGIN PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,02,0018,000,ELGIN PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,-1.0000,11/09/2012
DI,20112012,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,-1.0000,11/09/2012
DI,20132014,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,-1.0000,11/17/2014
DI,20142015,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,-1.0000,11/13/2015
DI,20152016,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,-1.0000,12/02/2016
DI,20102011,03,0500,000,ARTHUR COUNTY SCHOOLS,-1.0000,11/09/2012
DI,20112012,03,0500,000,ARTHUR COUNTY SCHOOLS,-1.0000,11/09/2012
DI,20132014,03,0500,000,ARTHUR COUNTY SCHOOLS,-1.0000,11/17/2014
DI,20142015,03,0500,000,ARTHUR COUNTY SCHOOLS,-1.0000,11/13/2015
DI,20152016,03,0500,000,ARTHUR COUNTY SCHOOLS,-1.0000,12/02/2016
DI,20102011,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,04,0001,000,BANNER COUNTY PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,05,0071,000,SANDHILLS PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,05,0071,000,SANDHILLS PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,05,0071,000,SANDHILLS PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,05,0071,000,SANDHILLS PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,05,0071,000,SANDHILLS PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,06,0001,000,BOONE CENTRAL SCHOOLS,-1.0000,11/09/2012
DI,20112012,06,0001,000,BOONE CENTRAL SCHOOLS,-1.0000,11/09/2012
DI,20132014,06,0001,000,BOONE CENTRAL SCHOOLS,-1.0000,11/17/2014
DI,20142015,06,0001,000,BOONE CENTRAL SCHOOLS,-1.0000,11/13/2015
DI,20152016,06,0001,000,BOONE CENTRAL SCHOOLS,-1.0000,12/02/2016
DI,20102011,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,06,0006,000,CEDAR RAPIDS PUBLIC SCHOOL,-1.0000,11/17/2014
DI,20102011,06,0017,000,ST EDWARD PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,06,0017,000,ST EDWARD PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20132014,06,0017,000,ST EDWARD PUBLIC SCHOOLS,-1.0000,11/17/2014
DI,20142015,06,0017,000,ST EDWARD PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,06,0017,000,ST EDWARD PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20142015,06,0075,000,RIVERSIDE PUBLIC SCHOOLS,-1.0000,11/13/2015
DI,20152016,06,0075,000,RIVERSIDE PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,07,0006,000,ALLIANCE PUBLIC SCHOOLS,0.0153,11/09/2012
DI,20112012,07,0006,000,ALLIANCE PUBLIC SCHOOLS,0.0137,11/09/2012
DI,20132014,07,0006,000,ALLIANCE PUBLIC SCHOOLS,0.0249,11/17/2014
DI,20142015,07,0006,000,ALLIANCE PUBLIC SCHOOLS,0.0175,11/13/2015
DI,20152016,07,0006,000,ALLIANCE PUBLIC SCHOOLS,-1.0000,12/02/2016
DI,20102011,07,0010,000,HEMINGFORD PUBLIC SCHOOLS,-1.0000,11/09/2012
DI,20112012,07,0010,000,HEMINGFORD PUBLIC SCHOOLS,-1.0000,11/09/2012
