Type,School Year,County,District,School,Agency Name,ELL Percentage,DataAsOf
ST,20112012,00,0000,000,STATE OF NEBRASKA,0.0647,05/21/2013
ST,20122013,00,0000,000,STATE OF NEBRASKA,0.0596,06/21/2013
ST,20132014,00,0000,000,STATE OF NEBRASKA,0.0604,07/07/2014
ST,20142015,00,0000,000,STATE OF NEBRASKA,0.0620,06/23/2015
ST,20152016,00,0000,000,STATE OF NEBRASKA,0.0609,11/16/2016
DI,20112012,01,0003,000,KENESAW PUBLIC SCHOOLS,-1.0000,05/21/2013
DI,20122013,01,0003,000,KENESAW PUBLIC SCHOOLS,-1.0000,06/21/2013
DI,20132014,01,0003,000,KENESAW PUBLIC SCHOOLS,-1.0000,07/07/2014
DI,20142015,01,0003,000,KENESAW PUBLIC SCHOOLS,-1.0000,06/23/2015
DI,20152016,01,0003,000,KENESAW PUBLIC SCHOOLS,-1.0000,11/16/2016
SC,20112012,01,0003,001,KENESAW SECONDARY SCHOOL,-1.0000,05/21/2013
SC,20122013,01,0003,001,KENESAW SECONDARY SCHOOL,-1.0000,06/21/2013
SC,20132014,01,0003,001,KENESAW SECONDARY SCHOOL,-1.0000,07/07/2014
SC,20142015,01,0003,001,KENESAW SECONDARY SCHOOL,-1.0000,06/23/2015
SC,20152016,01,0003,001,KENESAW SECONDARY SCHOOL,-1.0000,11/16/2016
SC,20112012,01,0003,002,KENESAW ELEMENTARY SCHOOL,-1.0000,05/21/2013
SC,20122013,01,0003,002,KENESAW ELEMENTARY SCHOOL,-1.0000,06/21/2013
SC,20132014,01,0003,002,KENESAW ELEMENTARY SCHOOL,-1.0000,07/07/2014
SC,20142015,01,0003,002,KENESAW ELEMENTARY SCHOOL,-1.0000,06/23/2015
SC,20152016,01,0003,002,KENESAW ELEMENTARY SCHOOL,-1.0000,11/16/2016
DI,20112012,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.0956,05/21/2013
DI,20122013,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.0784,06/21/2013
DI,20132014,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.0804,07/07/2014
DI,20142015,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.0704,06/23/2015
DI,20152016,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.0732,11/16/2016
SC,20112012,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.0184,05/21/2013
SC,20122013,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.0247,06/21/2013
SC,20132014,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.0190,07/07/2014
SC,20142015,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.0115,06/23/2015
SC,20152016,01,0018,001,HASTINGS SENIOR HIGH SCHOOL,0.0155,11/16/2016
SC,20112012,01,0018,002,HASTINGS MIDDLE SCHOOL,0.0532,05/21/2013
SC,20122013,01,0018,002,HASTINGS MIDDLE SCHOOL,0.0352,06/21/2013
SC,20132014,01,0018,002,HASTINGS MIDDLE SCHOOL,0.0506,07/07/2014
SC,20142015,01,0018,002,HASTINGS MIDDLE SCHOOL,0.0273,06/23/2015
SC,20152016,01,0018,002,HASTINGS MIDDLE SCHOOL,0.0291,11/16/2016
SC,20112012,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.2392,05/21/2013
SC,20122013,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.2136,06/21/2013
SC,20132014,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.2076,07/07/2014
SC,20142015,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.2481,06/23/2015
SC,20152016,01,0018,003,ALCOTT ELEMENTARY SCHOOL,0.2689,11/16/2016
SC,20112012,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.0994,05/21/2013
SC,20122013,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.0821,06/21/2013
SC,20132014,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.0886,07/07/2014
SC,20142015,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.0819,06/23/2015
SC,20152016,01,0018,004,HAWTHORNE ELEMENTARY SCHOOL,0.0927,11/16/2016
SC,20112012,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.2857,05/21/2013
SC,20122013,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.2258,06/21/2013
SC,20132014,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.2025,07/07/2014
SC,20142015,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.2033,06/23/2015
SC,20152016,01,0018,005,LINCOLN ELEMENTARY SCHOOL,0.2092,11/16/2016
SC,20112012,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.1011,05/21/2013
SC,20122013,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.0632,06/21/2013
SC,20132014,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.0852,07/07/2014
SC,20142015,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.0732,06/23/2015
SC,20152016,01,0018,006,LONGFELLOW ELEMENTARY SCHOOL,0.0627,11/16/2016
SC,20112012,01,0018,007,MORTON ELEMENTARY SCHOOL,0.1506,05/21/2013
SC,20122013,01,0018,007,MORTON ELEMENTARY SCHOOL,0.1407,06/21/2013
SC,20132014,01,0018,007,MORTON ELEMENTARY SCHOOL,0.1451,07/07/2014
SC,20142015,01,0018,007,MORTON ELEMENTARY SCHOOL,0.1124,06/23/2015
SC,20152016,01,0018,007,MORTON ELEMENTARY SCHOOL,0.0996,11/16/2016
SC,20112012,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,-1.0000,05/21/2013
SC,20122013,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,-1.0000,06/21/2013
SC,20132014,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,-1.0000,07/07/2014
SC,20142015,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,-1.0000,06/23/2015
SC,20152016,01,0018,008,RAYMOND A WATSON ELEM SCHOOL,-1.0000,11/16/2016
DI,20112012,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,-1.0000,05/21/2013
DI,20122013,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,-1.0000,06/21/2013
DI,20132014,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,-1.0000,07/07/2014
DI,20142015,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,-1.0000,06/23/2015
DI,20152016,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,-1.0000,11/16/2016
SC,20112012,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,-1.0000,05/21/2013
SC,20122013,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,-1.0000,06/21/2013
SC,20132014,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,-1.0000,07/07/2014
SC,20142015,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,-1.0000,06/23/2015
SC,20152016,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,-1.0000,11/16/2016
SC,20112012,01,0090,002,JUNIATA ELEMENTARY SCHOOL,-1.0000,05/21/2013
SC,20122013,01,0090,002,JUNIATA ELEMENTARY SCHOOL,-1.0000,06/21/2013
SC,20132014,01,0090,002,JUNIATA ELEMENTARY SCHOOL,-1.0000,07/07/2014
SC,20142015,01,0090,002,JUNIATA ELEMENTARY SCHOOL,-1.0000,06/23/2015
SC,20152016,01,0090,002,JUNIATA ELEMENTARY SCHOOL,-1.0000,11/16/2016
SC,20112012,01,0090,003,ADAMS COUNTY 15,-1.0000,05/21/2013
SC,20122013,01,0090,003,ADAMS COUNTY 15,-1.0000,06/21/2013
SC,20132014,01,0090,003,EAST ELEMENTARY SCHOOL,-1.0000,07/07/2014
SC,20142015,01,0090,003,EAST ELEMENTARY SCHOOL,-1.0000,06/23/2015
SC,20152016,01,0090,003,EAST ELEMENTARY SCHOOL,-1.0000,11/16/2016
SC,20112012,01,0090,004,TRI-VIEW SCHOOL,-1.0000,05/21/2013
SC,20112012,01,0090,005,AYR SCHOOL,-1.0000,05/21/2013
SC,20112012,01,0090,006,WALLACE SCHOOL,-1.0000,05/21/2013
SC,20122013,01,0090,006,WALLACE SCHOOL,-1.0000,06/21/2013
SC,20132014,01,0090,006,WALLACE ELEMENTARY SCHOOL,-1.0000,07/07/2014
