Type,School Year,County,District,School,Agency Name,FRL Percentage,DataAsOf
ST,20012002,00,0000,000,STATE OF NEBRASKA,0.3123,11/09/2012
ST,20022003,00,0000,000,STATE OF NEBRASKA,0.3241,11/09/2012
ST,20032004,00,0000,000,STATE OF NEBRASKA,0.3393,11/09/2012
ST,20042005,00,0000,000,STATE OF NEBRASKA,0.3479,11/09/2012
ST,20052006,00,0000,000,STATE OF NEBRASKA,0.3464,11/09/2012
ST,20062007,00,0000,000,STATE OF NEBRASKA,0.3642,11/09/2012
ST,20072008,00,0000,000,STATE OF NEBRASKA,0.3733,11/09/2012
ST,20082009,00,0000,000,STATE OF NEBRASKA,0.3835,11/09/2012
ST,20092010,00,0000,000,STATE OF NEBRASKA,0.4122,11/09/2012
ST,20102011,00,0000,000,STATE OF NEBRASKA,0.4258,11/09/2012
ST,20112012,00,0000,000,STATE OF NEBRASKA,0.4379,11/09/2012
ST,20122013,00,0000,000,STATE OF NEBRASKA,0.4418,09/10/2013
ST,20132014,00,0000,000,STATE OF NEBRASKA,0.4493,07/07/2014
ST,20142015,00,0000,000,STATE OF NEBRASKA,0.4417,06/23/2015
ST,20152016,00,0000,000,STATE OF NEBRASKA,0.4412,12/12/2016
LC,20082009,00,9000,000,LEARNING COMMUNITY,0.3695,11/09/2012
LC,20092010,00,9000,000,LEARNING COMMUNITY,0.3997,11/09/2012
LC,20102011,00,9000,000,LEARNING COMMUNITY,0.4198,11/09/2012
LC,20112012,00,9000,000,LEARNING COMMUNITY,0.4361,11/09/2012
LC,20132014,00,9000,000,LEARNING COMMUNITY,0.4458,07/07/2014
LC,20142015,00,9000,000,LEARNING COMMUNITY,0.4398,06/23/2015
LC,20152016,00,9000,000,LEARNING COMMUNITY,0.4435,12/12/2016
NT,20032004,00,9099,000,NORTHERN TIER,0.4980,11/09/2012
NT,20042005,00,9099,000,NORTHERN TIER,0.5074,11/09/2012
NT,20052006,00,9099,000,NORTHERN TIER,0.5098,11/09/2012
NT,20062007,00,9099,000,NORTHERN TIER,0.5191,11/09/2012
NT,20072008,00,9099,000,NORTHERN TIER,0.5063,11/09/2012
NT,20082009,00,9099,000,NORTHERN TIER,0.4941,11/09/2012
NT,20092010,00,9099,000,NORTHERN TIER,0.5276,11/09/2012
NT,20102011,00,9099,000,NORTHERN TIER,0.5268,11/09/2012
NT,20112012,00,9099,000,NORTHERN TIER,0.5084,11/09/2012
