Type,School Year,County,District,School,Agency Name,SPED Percentage,DataAsOf
ST,20112012,00,0000,000,STATE OF NEBRASKA,0.1503,11/09/2012
ST,20122013,00,0000,000,STATE OF NEBRASKA,0.1466,06/20/2013
ST,20132014,00,0000,000,STATE OF NEBRASKA,0.1574,07/07/2014
ST,20142015,00,0000,000,STATE OF NEBRASKA,0.1471,06/23/2015
ST,20152016,00,0000,000,STATE OF NEBRASKA,0.1471,11/16/2016
DI,20112012,01,0003,000,KENESAW PUBLIC SCHOOLS,0.1429,11/09/2012
DI,20122013,01,0003,000,KENESAW PUBLIC SCHOOLS,0.1480,06/20/2013
DI,20132014,01,0003,000,KENESAW PUBLIC SCHOOLS,0.1719,07/07/2014
DI,20142015,01,0003,000,KENESAW PUBLIC SCHOOLS,0.1619,06/23/2015
DI,20152016,01,0003,000,KENESAW PUBLIC SCHOOLS,0.1636,11/16/2016
DI,20112012,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.2182,11/09/2012
DI,20122013,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.2263,06/20/2013
DI,20132014,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.2476,07/07/2014
DI,20142015,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.2253,06/23/2015
DI,20152016,01,0018,000,HASTINGS PUBLIC SCHOOLS,0.2108,11/16/2016
DI,20112012,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1464,11/09/2012
DI,20122013,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1446,06/20/2013
DI,20132014,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1627,07/07/2014
DI,20142015,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1530,06/23/2015
DI,20152016,01,0090,000,ADAMS CENTRAL PUBLIC SCHOOLS,0.1472,11/16/2016
DI,20112012,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.1883,11/09/2012
DI,20122013,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.1772,06/20/2013
DI,20132014,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.1827,07/07/2014
DI,20142015,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.2222,06/23/2015
DI,20152016,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,0.2192,11/16/2016
DI,20112012,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.1718,11/09/2012
DI,20122013,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.1814,06/20/2013
DI,20132014,02,0009,000,NELIGH-OAKDALE SCHOOLS,0.1848,07/07/2014
