Type,School Year,County,District,School,Agency Name,Average Teacher Salary,Average Years of Teaching Experience,Masters Count,Percentage of Teachers with Master’s Degrees,Teacher FTE,AM_5,AS_5,BL_5,HI_5,WH_5,AM_7,AS_7,BL_7,HI_7,PI_7,WH_7,MU_7,DataAsOf
ST,20112012,00,0000,000,STATE OF NEBRASKA,48154,15.19,11889,0.4746,24131.83,,,,,,43.00,72.57,198.00,382.30,13.88,23271.98,150.10,11/26/2012
ST,20122013,00,0000,000,STATE OF NEBRASKA,48995,15.03,12401,0.4927,24253.79,,,,,,37.75,73.60,205.61,411.84,13.38,23408.46,103.15,07/05/2013
ST,20132014,00,0000,000,STATE OF NEBRASKA,49669,14.56,11878,0.5173,22302.34,,,,,,33.50,79.80,203.95,399.25,9.51,21472.33,104.00,07/07/2014
ST,20142015,00,0000,000,STATE OF NEBRASKA,50681,14.34,12146,0.5216,22702.27,,,,,,37.50,87.00,211.15,427.98,16.00,21823.94,98.70,08/19/2015
ST,20152016,00,0000,000,STATE OF NEBRASKA,51520,14.15,12491,0.5307,23001.85,,,,,,36.00,89.09,222.63,470.36,14.00,22069.52,100.25,11/16/2016
DI,20112012,01,0003,000,KENESAW PUBLIC SCHOOLS,42189,20.09,7,0.3182,20.50,,,,,,0.00,0.00,0.00,0.00,0.00,20.50,0.00,11/26/2012
DI,20122013,01,0003,000,KENESAW PUBLIC SCHOOLS,43949,20.38,7,0.3333,20.30,,,,,,0.00,0.00,0.00,0.00,0.00,20.30,0.00,07/05/2013
DI,20132014,01,0003,000,KENESAW PUBLIC SCHOOLS,43567,18.52,7,0.3333,20.30,,,,,,0.00,0.00,0.00,0.00,0.00,20.30,0.00,07/07/2014
DI,20142015,01,0003,000,KENESAW PUBLIC SCHOOLS,44452,17.19,8,0.3810,19.80,,,,,,0.00,1.00,0.00,0.00,0.00,18.80,0.00,08/19/2015
DI,20152016,01,0003,000,KENESAW PUBLIC SCHOOLS,46782,15.48,10,0.4762,19.80,,,,,,0.00,1.00,0.00,0.00,0.00,18.80,0.00,11/16/2016
